level,levelName,dateTime,container,env,epochTimestampNS,namespace,resource,service,version,data,Tags
20,INFO,2023-04-30T06:20:43.655Z,5CG1231T7V,dev,3.74E+12,train-service-dev,5CG1231T7V,train-service,0.0.1,"{""message"":""Log In API is listening on port 3000""}""level",
20,INFO,2023-04-30T06:20:43.680Z,5CG1231T7V,dev,3.74E+12,train-service-dev,5CG1231T7V,train-service,0.0.1,"{""message"":""connected to database""}""level",
20,INFO,2023-04-30T06:20:53.463Z,5CG1231T7V,dev,3.75E+12,train-service-dev,5CG1231T7V,train-service,0.0.1,"{""message"":""Log In API is listening on port 3000""}""level",
20,INFO,2023-04-30T06:20:53.478Z,5CG1231T7V,dev,3.75E+12,train-service-dev,5CG1231T7V,train-service,0.0.1,"{""message"":""connected to database""}""level",
20,INFO,2023-04-30T06:24:13.154Z,5CG1231T7V,dev,3.95E+12,train-service-dev,5CG1231T7V,train-service,0.0.1,"{""message"":""Log In API is listening on port 3000""}""level",
20,INFO,2023-04-30T06:24:13.170Z,5CG1231T7V,dev,3.95E+12,train-service-dev,5CG1231T7V,train-service,0.0.1,"{""message"":""connected to database""}""level",
20,INFO,2023-04-30T06:24:31.765Z,5CG1231T7V,dev,3.97E+12,train-service-dev,5CG1231T7V,train-service,0.0.1,"{""message"":""Inbound Started"",""route"":""/api/add"",""method"":""POST"",""uri"":""/api/add"",""query"":{},""clientInfo"":{""user-agent"":""PostmanRuntime/7.29.2""},""correlationCurrentId"":""870ab061-a74f-44c8-9c2c-b3eeb8f42f8b"",""correlationOriginId"":""870ab061-a74f-44c8-9c2c-b3eeb8f42f8b""}""level",
20,INFO,2023-04-30T06:24:31.785Z,5CG1231T7V,dev,3.97E+12,train-service-dev,5CG1231T7V,train-service,0.0.1,"{""message"":""Inbound Completed"",""route"":""/api/add"",""method"":""POST"",""uri"":""/api/add"",""statusCode"":200,""query"":{},""clientInfo"":{""user-agent"":""PostmanRuntime/7.29.2""},""correlationCurrentId"":""870ab061-a74f-44c8-9c2c-b3eeb8f42f8b"",""correlationOriginId"":""870ab061-a74f-44c8-9c2c-b3eeb8f42f8b""}""level",
20,INFO,2023-04-30T06:26:23.075Z,5CG1231T7V,dev,4.08E+12,train-service-dev,5CG1231T7V,train-service,0.0.1,"{""message"":""Inbound Started"",""route"":""/api/add"",""method"":""POST"",""uri"":""/api/add"",""query"":{},""clientInfo"":{""user-agent"":""PostmanRuntime/7.29.2""},""correlationCurrentId"":""2c900038-43b3-4ee2-9fef-8ddc18996b68"",""correlationOriginId"":""2c900038-43b3-4ee2-9fef-8ddc18996b68""}""level",
20,INFO,2023-04-30T06:26:23.082Z,5CG1231T7V,dev,4.08E+12,train-service-dev,5CG1231T7V,train-service,0.0.1,"{""message"":""Inbound Completed"",""route"":""/api/add"",""method"":""POST"",""uri"":""/api/add"",""statusCode"":200,""query"":{},""clientInfo"":{""user-agent"":""PostmanRuntime/7.29.2""},""correlationCurrentId"":""2c900038-43b3-4ee2-9fef-8ddc18996b68"",""correlationOriginId"":""2c900038-43b3-4ee2-9fef-8ddc18996b68""}""level",
