level,levelName,dateTime,container,env,epochTimestampNS,namespace,resource,service,version,data,Tags
20,INFO,2023-04-30T16:25:49.837Z,5CG1231T7V,dev,4.00585E+13,reservation-service-dev,5CG1231T7V,reservation-service,0.0.1,"{""message"":""Log In API is listening on port 3003""}""level",
20,INFO,2023-04-30T16:25:49.854Z,5CG1231T7V,dev,4.00585E+13,reservation-service-dev,5CG1231T7V,reservation-service,0.0.1,"{""message"":""connected to database""}""level",
50,ERROR,2023-04-30T16:27:21.198Z,5CG1231T7V,dev,4.01499E+13,reservation-service-dev,5CG1231T7V,reservation-service,0.0.1,"{""errorDesc"":""Bad Request: train id param is required"",""route"":""/api/reserve"",""method"":""POST"",""uri"":""/api/reserve"",""stack"":""Error: Bad Request: train id param is required\n    at Object.sendEmail [as getUser] (C:\\chanaka\\res\\reservation-service\\controllers\\reservationController.js:10:19)\n    at C:\\chanaka\\res\\reservation-service\\routes.js:7:32\n    at Layer.handle [as handle_request] (C:\\chanaka\\res\\reservation-service\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at next (C:\\chanaka\\res\\reservation-service\\node_modules\\express\\lib\\router\\route.js:144:13)\n    at Route.dispatch (C:\\chanaka\\res\\reservation-service\\node_modules\\express\\lib\\router\\route.js:114:3)\n    at Layer.handle [as handle_request] (C:\\chanaka\\res\\reservation-service\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at C:\\chanaka\\res\\reservation-service\\node_modules\\express\\lib\\router\\index.js:284:15\n    at Function.process_params (C:\\chanaka\\res\\reservation-service\\node_modules\\express\\lib\\router\\index.js:346:12)\n    at next (C:\\chanaka\\res\\reservation-service\\node_modules\\express\\lib\\router\\index.js:280:10)\n    at Function.handle (C:\\chanaka\\res\\reservation-service\\node_modules\\express\\lib\\router\\index.js:175:3)"",""query"":{""id"":""644e15e1ae5b7a144d0bff01""},""clientInfo"":{""user-agent"":""PostmanRuntime/7.29.2""},""correlationCurrentId"":""5726943a-9e78-452a-862e-3e18e9f82d9e"",""correlationOriginId"":""5726943a-9e78-452a-862e-3e18e9f82d9e""}""level",['consumer Error']
20,INFO,2023-04-30T16:27:21.195Z,5CG1231T7V,dev,4.01499E+13,reservation-service-dev,5CG1231T7V,reservation-service,0.0.1,"{""message"":""Inbound Started"",""route"":""/api/reserve"",""method"":""POST"",""uri"":""/api/reserve"",""query"":{""id"":""644e15e1ae5b7a144d0bff01""},""clientInfo"":{""user-agent"":""PostmanRuntime/7.29.2""},""correlationCurrentId"":""5726943a-9e78-452a-862e-3e18e9f82d9e"",""correlationOriginId"":""5726943a-9e78-452a-862e-3e18e9f82d9e""}""level",
20,INFO,2023-04-30T16:27:21.203Z,5CG1231T7V,dev,4.01499E+13,reservation-service-dev,5CG1231T7V,reservation-service,0.0.1,"{""message"":""Inbound Completed"",""route"":""/api/reserve"",""method"":""POST"",""uri"":""/api/reserve"",""statusCode"":500,""query"":{""id"":""644e15e1ae5b7a144d0bff01""},""clientInfo"":{""user-agent"":""PostmanRuntime/7.29.2""},""correlationCurrentId"":""5726943a-9e78-452a-862e-3e18e9f82d9e"",""correlationOriginId"":""5726943a-9e78-452a-862e-3e18e9f82d9e""}""level",
20,INFO,2023-04-30T16:27:53.118Z,5CG1231T7V,dev,4.01818E+13,reservation-service-dev,5CG1231T7V,reservation-service,0.0.1,"{""message"":""Log In API is listening on port 3003""}""level",
20,INFO,2023-04-30T16:27:53.133Z,5CG1231T7V,dev,4.01818E+13,reservation-service-dev,5CG1231T7V,reservation-service,0.0.1,"{""message"":""connected to database""}""level",
20,INFO,2023-04-30T16:27:55.367Z,5CG1231T7V,dev,4.0184E+13,reservation-service-dev,5CG1231T7V,reservation-service,0.0.1,"{""message"":""Inbound Started"",""route"":""/api/reserve"",""method"":""POST"",""uri"":""/api/reserve"",""query"":{""id"":""644e15e1ae5b7a144d0bff01""},""clientInfo"":{""user-agent"":""PostmanRuntime/7.29.2""},""correlationCurrentId"":""b93338b1-da89-4341-84f5-9a38878deeb5"",""correlationOriginId"":""b93338b1-da89-4341-84f5-9a38878deeb5""}""level",
20,INFO,2023-04-30T16:27:55.372Z,5CG1231T7V,dev,4.01841E+13,reservation-service-dev,5CG1231T7V,reservation-service,0.0.1,"{""message"":""Outbound started: "",""route"":""/api/email"",""method"":""GET"",""uri"":""http://localhost:3002/api/train?id=644e15e1ae5b7a144d0bff01"",""startTime"":""40184052180400"",""correlationCurrentId"":""b93338b1-da89-4341-84f5-9a38878deeb5"",""correlationOriginId"":""b93338b1-da89-4341-84f5-9a38878deeb5""}""level",
20,INFO,2023-04-30T16:27:55.431Z,5CG1231T7V,dev,4.01841E+13,reservation-service-dev,5CG1231T7V,reservation-service,0.0.1,"{""message"":""Outbound completed: "",""route"":""/api/email"",""method"":""GET"",""uri"":""http://localhost:3002/api/train?id=644e15e1ae5b7a144d0bff01"",""statusCode"":200,""durationNS"":""58026600"",""payload"":""{\""response\"":{\""status\"":\""Success\"",\""data\"":{\""_id\"":\""644e15e1ae5b7a144d0bff01\"",\""name\"":\""train1\"",\""reserved\"":10,\""available\"":30,\""time\"":\""2023-05-15\"",\""__v\"":0}}}"",""correlationCurrentId"":""b93338b1-da89-4341-84f5-9a38878deeb5"",""correlationOriginId"":""b93338b1-da89-4341-84f5-9a38878deeb5""}""level",
20,INFO,2023-04-30T16:27:55.441Z,5CG1231T7V,dev,4.01841E+13,reservation-service-dev,5CG1231T7V,reservation-service,0.0.1,"{""message"":""Inbound Completed"",""route"":""/api/reserve"",""method"":""POST"",""uri"":""/api/reserve"",""statusCode"":200,""query"":{""id"":""644e15e1ae5b7a144d0bff01""},""clientInfo"":{""user-agent"":""PostmanRuntime/7.29.2""},""correlationCurrentId"":""b93338b1-da89-4341-84f5-9a38878deeb5"",""correlationOriginId"":""b93338b1-da89-4341-84f5-9a38878deeb5""}""level",
20,INFO,2023-05-01T07:34:11.964Z,5CG1231T7V,dev,1.56717E+13,reservation-service-dev,5CG1231T7V,reservation-service,0.0.1,"{""message"":""Log In API is listening on port 3003""}""level",
20,INFO,2023-05-01T07:34:11.995Z,5CG1231T7V,dev,1.56717E+13,reservation-service-dev,5CG1231T7V,reservation-service,0.0.1,"{""message"":""connected to database""}""level",
20,INFO,2023-05-01T07:35:16.915Z,5CG1231T7V,dev,1.57366E+13,reservation-service-dev,5CG1231T7V,reservation-service,0.0.1,"{""message"":""Log In API is listening on port 3003""}""level",
20,INFO,2023-05-01T07:35:16.940Z,5CG1231T7V,dev,1.57367E+13,reservation-service-dev,5CG1231T7V,reservation-service,0.0.1,"{""message"":""connected to database""}""level",
20,INFO,2023-05-01T07:35:57.421Z,5CG1231T7V,dev,1.57771E+13,reservation-service-dev,5CG1231T7V,reservation-service,0.0.1,"{""message"":""Inbound Started"",""route"":""/api/reserve"",""method"":""POST"",""uri"":""/api/reserve"",""query"":{""id"":""644e15e1ae5b7a144d0bff01""},""clientInfo"":{""user-agent"":""PostmanRuntime/7.29.2""},""correlationCurrentId"":""60b20806-1b23-47e2-afb1-85dae01df50a"",""correlationOriginId"":""60b20806-1b23-47e2-afb1-85dae01df50a""}""level",
20,INFO,2023-05-01T07:35:57.425Z,5CG1231T7V,dev,1.57771E+13,reservation-service-dev,5CG1231T7V,reservation-service,0.0.1,"{""message"":""Outbound started: "",""route"":""/api/reserve"",""method"":""GET"",""uri"":""http://localhost:3002/api/train?id=644e15e1ae5b7a144d0bff01"",""startTime"":""15777139341600"",""correlationCurrentId"":""60b20806-1b23-47e2-afb1-85dae01df50a"",""correlationOriginId"":""60b20806-1b23-47e2-afb1-85dae01df50a""}""level",
